Mes;Categor¡a;?tem;Referencia;Descripci¢n;Cantidad en Principal;Cantidad m¡nima en Principal;Cantidad m xima en Principal;Cantidad total;Cantidad en remisiones;Unidad;Estado;Costo promedio;Total
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO DURAZNO GALON;JB05D;;0;2;4;0;0;Unidad;Inactivo;8923;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO DURAZNO GARRAFA;JB06D;;0;1;2;0;0;Unidad;Inactivo;45429;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL  AVENA 300 mL;JBA01A;;0;0;0;0;0;Unidad;Activo;1140,290618;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL AVENA 500 mL;JBA02A;;0;3;6;0;0;Unidad;Inactivo;1953,898312;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL AVENA 1 L;JBA03A;;0;2;4;0;0;Unidad;Inactivo;3627,170973;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL AVENA 2 L;JBA04A;;0;1;2;0;0;Unidad;Inactivo;5289,210051;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL AVENA GALON;JBA05A;;-1;2;4;-1;0;Unidad;Inactivo;9436,77;-9436,77
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL AVENA GARRAFA;JBA06A;;0;1;2;0;0;Unidad;Inactivo;48743;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL  COCO 300 mL;JBA01C;;0;0;0;0;0;Unidad;Inactivo;1062,110556;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL COCO 500 mL;JBA02C;;0;2;4;0;0;Unidad;Inactivo;1927,91;0
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL COCO 1 L;JBA03C;;-1;2;4;-1;0;Unidad;Inactivo;3431;-3431
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL COCO 2 L;JBA04C;;-2;1;2;-2;0;Unidad;Inactivo;4725,32;-9450,64
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL COCO GALON;JBA05C;;1;2;4;1;0;Unidad;Inactivo;8946,840107;8946,84
Mayo;CUIDADO PERSONAL;JABON DE MANOS Y CUERPO ANTIBACTERIAL COCO GARRAFA;JBA06C;;0;1;2;0;0;Unidad;Inactivo;44421;0
Mayo;COCINA;LIMPIA ESTUFA 500 mL;LE02;;1;5;10;1;0;Unidad;Activo;1140,235747;1140,24
Mayo;COCINA;LIMPIA ESTUFA 1 L;LE03;;13;8;16;13;0;Unidad;Activo;2391,987241;31095,83
Mayo;COCINA;LIMPIA ESTUFA GALON;LE05;;11;9;18;11;0;Unidad;Activo;5500,659361;60507,25
Mayo;COCINA;LIMPIA ESTUFA GARRAFA;LE06;;0;3;4;0;0;Unidad;Activo;29770,25;0
Mayo;COCINA;LAVA LOZA 500 mL.;LL02;;16;3;6;16;0;Unidad;Activo;1606,928571;25710,86
Mayo;COCINA;LAVA LOZA 1 L;LL03;;52;7;14;52;1;Unidad;Activo;2974,509933;154674,52
Mayo;COCINA;LAVA LOZA GALON;LL05;;20;12;24;20;0;Unidad;Activo;8858,74019;177174,8
Mayo;COCINA;LAVA LOZA GARRAFA;LL06;;2;2;4;2;0;Unidad;Activo;39801,33799;79602,68
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL LAVANDA 500 Ml;LPA02L;;-1;2;4;-1;0;Unidad;Activo;1565,481675;-1565,48
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL NATURE 500 Ml;LPA02N;;0;4;8;0;0;Unidad;Activo;1579;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL TALCO 500 Ml;LPA02T;;0;1;2;0;0;Unidad;Activo;1579;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CITRONELA 500 Ml;LPA02C;;-1;1;2;-1;0;Unidad;Activo;1572,023117;-1572,02
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CANELA PICANTE 500 Ml;LPA02CP;;0;2;4;0;0;Unidad;Activo;1527;0
